id;sabor_pizza;instante_pedido;tempo_preparo
10422;Portuguesa;1;25
91678;Frango com Catupiry;1;20
88544;Pepperoni;1;13
43242;Pepperoni;1;16
69922;Quatro Queijos;1;24
47257;Pepperoni;1;24
38151;Pepperoni;1;10
50915;Vegetariana;1;21
59691;Frango com Catupiry;1;22
75732;Calabresa;1;17
94852;Vegetariana;1;16
79497;Portuguesa;2;18
88349;Margherita;2;28
60192;Calabresa;2;21
64299;Calabresa;2;27
55992;Margherita;2;25
38680;Frango com Catupiry;2;29
39438;Pepperoni;2;23
16476;Margherita;3;21
78035;Vegetariana;3;11
64958;Vegetariana;3;30
47170;Margherita;3;21
39623;Calabresa;3;25
22933;Portuguesa;3;26
55838;Margherita;3;23
55108;Frango com Catupiry;3;27
31853;Calabresa;3;22
31332;Portuguesa;3;21
28607;Calabresa;3;16
80550;Margherita;4;29
96976;Quatro Queijos;4;27
29579;Vegetariana;4;11
41886;Calabresa;4;23
53274;Portuguesa;4;20
27146;Quatro Queijos;4;22
30080;Vegetariana;4;10
16733;Vegetariana;4;29
64281;Margherita;4;30
93007;Vegetariana;4;18
96276;Portuguesa;4;11
10085;Pepperoni;4;15
96410;Margherita;5;30
21644;Pepperoni;5;10
34772;Portuguesa;5;19
55899;Calabresa;5;20
92608;Frango com Catupiry;5;12
86866;Margherita;5;22
22290;Vegetariana;5;18
92649;Pepperoni;5;28
99950;Margherita;5;28
80740;Pepperoni;5;26
66303;Calabresa;6;27
79035;Portuguesa;6;22
81882;Frango com Catupiry;6;15
89275;Pepperoni;6;25
58149;Pepperoni;6;20
84426;Frango com Catupiry;6;10
85808;Frango com Catupiry;6;23
13040;Margherita;7;13
96721;Portuguesa;7;16
96124;Quatro Queijos;7;28
24656;Frango com Catupiry;7;12
93334;Pepperoni;7;18
22343;Calabresa;7;30
97621;Frango com Catupiry;7;14
85828;Calabresa;7;27
28309;Quatro Queijos;7;24
40916;Pepperoni;8;16
13312;Margherita;8;15
48459;Frango com Catupiry;8;17
98633;Frango com Catupiry;8;22
87604;Portuguesa;8;25
64226;Vegetariana;8;13
31095;Quatro Queijos;8;27
59834;Margherita;8;24
57065;Vegetariana;8;24
74946;Quatro Queijos;8;16
52518;Calabresa;8;21
86764;Quatro Queijos;8;30
13592;Calabresa;8;25
25730;Frango com Catupiry;8;24
15568;Portuguesa;9;14
99662;Quatro Queijos;9;29
31668;Quatro Queijos;9;20
39222;Calabresa;9;10
40243;Calabresa;9;16
86935;Quatro Queijos;9;12
88413;Vegetariana;9;20
20258;Quatro Queijos;9;17
63063;Frango com Catupiry;9;30
74464;Margherita;9;29
57723;Quatro Queijos;9;25
34722;Portuguesa;9;11
85214;Portuguesa;9;17
78225;Pepperoni;9;15
80345;Quatro Queijos;9;24
13258;Vegetariana;9;21
34930;Pepperoni;9;25
83807;Calabresa;10;18
92109;Calabresa;10;15
35902;Margherita;10;15
63403;Calabresa;10;25
37052;Vegetariana;10;11
25748;Frango com Catupiry;10;27
54367;Calabresa;11;20
44997;Vegetariana;11;14
25147;Portuguesa;11;29
52487;Pepperoni;11;30
92887;Portuguesa;11;27
88418;Calabresa;11;25
28431;Frango com Catupiry;11;11
35292;Margherita;12;12
41468;Portuguesa;12;23
52116;Calabresa;12;25
13670;Quatro Queijos;12;13
12751;Calabresa;12;30
89903;Margherita;12;24
49229;Margherita;12;13
12028;Calabresa;12;28
34736;Margherita;12;15
96667;Portuguesa;13;23
64995;Calabresa;13;10
86268;Pepperoni;13;25
44192;Calabresa;13;12
91013;Margherita;13;17
49450;Margherita;13;28
42931;Quatro Queijos;13;25
94186;Pepperoni;13;24
62913;Portuguesa;13;25
28278;Frango com Catupiry;13;24
55636;Margherita;13;14
75576;Portuguesa;14;20
40870;Quatro Queijos;14;30
28067;Vegetariana;14;30
44979;Quatro Queijos;14;17
65580;Portuguesa;14;18
89889;Frango com Catupiry;14;23
37822;Vegetariana;15;22
34883;Vegetariana;15;17
48886;Frango com Catupiry;15;10
88013;Quatro Queijos;15;15
48930;Frango com Catupiry;15;24
60721;Calabresa;15;26
19357;Quatro Queijos;15;23
96186;Vegetariana;15;10
33086;Pepperoni;15;19
87203;Calabresa;15;16
70459;Frango com Catupiry;15;11
25412;Frango com Catupiry;15;15
70610;Vegetariana;16;24
21291;Frango com Catupiry;16;10
96978;Frango com Catupiry;16;14
27789;Quatro Queijos;16;15
57260;Vegetariana;16;26
72157;Calabresa;16;23
56700;Frango com Catupiry;16;23
89697;Vegetariana;16;22
46098;Frango com Catupiry;16;25
12971;Pepperoni;17;15
38544;Portuguesa;17;30
45501;Frango com Catupiry;17;23
50554;Vegetariana;17;19
77262;Frango com Catupiry;17;12
66456;Vegetariana;17;24
54229;Portuguesa;17;20
60497;Calabresa;17;11
92779;Pepperoni;17;29
10949;Frango com Catupiry;17;21
45220;Calabresa;18;14
63639;Pepperoni;18;13
24472;Calabresa;18;11
53421;Margherita;18;17
61138;Quatro Queijos;18;30
30265;Pepperoni;18;30
99636;Vegetariana;18;18
94182;Quatro Queijos;18;15
66126;Quatro Queijos;18;16
72320;Portuguesa;18;11
54117;Quatro Queijos;18;19
15963;Frango com Catupiry;19;27
37399;Calabresa;19;18
25150;Frango com Catupiry;19;21
52534;Quatro Queijos;19;12
39746;Quatro Queijos;19;20
79494;Frango com Catupiry;19;11
20032;Vegetariana;19;24
